City,Country,Longitude,Latitude,Humidity,Cloudiness,Max_Temp,Wind_Speed,Date
<<<<<<< HEAD
Rikitea,PF,-134.97,-23.12,78,0,26.42,6.98,"(2020, 2, 10)"
Nikolskoye,RU,30.79,59.7,80,90,4.0,5.0,"(2020, 2, 10)"
Hualmay,PE,-77.61,-11.1,78,100,21.36,2.02,"(2020, 2, 10)"
Tuktoyaktuk,CA,-133.04,69.45,68,20,-29.0,5.7,"(2020, 2, 10)"
Hilo,US,-155.09,19.73,50,40,25.0,6.7,"(2020, 2, 10)"
Fuegen,AT,11.85,47.35,86,75,5.56,1.5,"(2020, 2, 10)"
Albany,US,-73.97,42.6,90,90,3.0,2.1,"(2020, 2, 10)"
Bredasdorp,ZA,20.04,-34.53,82,32,20.0,1.5,"(2020, 2, 10)"
Nara,JP,135.8,34.69,45,20,10.0,1.5,"(2020, 2, 10)"
Norman Wells,CA,-126.83,65.28,84,40,-19.0,2.6,"(2020, 2, 10)"
Airai,TL,125.41,-8.93,76,71,25.63,1.58,"(2020, 2, 10)"
Shar,KZ,81.05,49.59,94,100,-16.3,7.08,"(2020, 2, 10)"
Guerrero Negro,MX,-114.06,27.98,61,45,14.82,6.74,"(2020, 2, 10)"
Tsabong,BW,22.4,-26.02,51,97,24.92,8.29,"(2020, 2, 10)"
Mahebourg,MU,57.7,-20.41,88,75,27.78,5.7,"(2020, 2, 10)"
Avarua,CK,-159.78,-21.21,88,100,28.0,2.6,"(2020, 2, 10)"
Sinnamary,GF,-52.95,5.38,84,24,26.12,8.85,"(2020, 2, 10)"
Tiksi,RU,128.87,71.69,89,3,-32.22,2.09,"(2020, 2, 10)"
Busselton,AU,115.33,-33.65,19,0,32.22,2.38,"(2020, 2, 10)"
Ushuaia,AR,-68.3,-54.8,87,40,9.0,2.6,"(2020, 2, 10)"
Boa Vista,BR,-60.67,2.82,61,92,27.0,3.6,"(2020, 2, 10)"
George Town,MY,100.34,5.41,66,20,30.0,2.1,"(2020, 2, 10)"
Vaini,TO,-175.2,-21.2,83,75,29.0,3.6,"(2020, 2, 10)"
Grindavik,IS,-22.43,63.84,80,75,1.0,8.2,"(2020, 2, 10)"
Saskylakh,RU,114.08,71.92,97,99,-28.21,2.95,"(2020, 2, 10)"
Kapaa,US,-159.32,22.08,77,75,23.0,12.9,"(2020, 2, 10)"
Hobart,AU,147.33,-42.88,77,75,24.44,3.1,"(2020, 2, 10)"
Hambantota,LK,81.12,6.12,78,0,28.0,6.7,"(2020, 2, 10)"
Winder,US,-83.72,33.99,93,90,12.0,1.5,"(2020, 2, 10)"
Tasiilaq,GL,-37.64,65.61,74,100,-2.0,2.1,"(2020, 2, 10)"
Samarai,PG,150.67,-10.62,55,63,32.87,1.66,"(2020, 2, 10)"
Longyearbyen,SJ,15.64,78.22,60,20,-13.0,10.8,"(2020, 2, 10)"
Orlik,RU,99.83,52.52,91,99,-11.1,0.47,"(2020, 2, 10)"
New Norfolk,AU,147.06,-42.78,77,75,24.44,3.1,"(2020, 2, 10)"
Pevek,RU,170.31,69.7,80,0,-28.95,1.99,"(2020, 2, 10)"
Hong Kong,HK,114.16,22.29,77,40,21.11,5.1,"(2020, 2, 10)"
